runId,전략,코인페어,타임프레임,전체시작일,전체종료일,학습기간종료일,테스트기간종료일,초기자금,세그먼트,총수익률(%),승률(%),최대낙폭(%),샤프비율,소르티노비율,칼마비율,총거래,승리거래,패배거래,평균수익(%),평균손실(%),생성일시
175,COMPOSITE_BREAKOUT,KRW-XRP,H1,2022-01-01 00:00:00,2026-04-24 00:00:00,2022-08-05 20:00:00,2022-11-06 18:00:00,1000000.00,W0_OUT,-6.65,0.0,-6.65,-5.7197,-5.5468,-7.4111,5,,,,,2026-04-24 10:01:18
175,COMPOSITE_BREAKOUT,KRW-XRP,H1,2022-01-01 00:00:00,2026-04-24 00:00:00,2023-06-11 19:00:00,,1000000.00,W1_IN,-0.72,11.11,-6.56,-0.0165,-0.0453,-0.2293,9,,,,,2026-04-24 10:01:18
175,COMPOSITE_BREAKOUT,KRW-XRP,H1,2022-01-01 00:00:00,2026-04-24 00:00:00,2023-06-11 19:00:00,2023-09-12 22:00:00,1000000.00,W1_OUT,33.67,100.0,0,0,0,0,2,,,,,2026-04-24 10:01:18
175,COMPOSITE_BREAKOUT,KRW-XRP,H1,2022-01-01 00:00:00,2026-04-24 00:00:00,2024-04-16 23:00:00,,1000000.00,W2_IN,-11.07,0.0,-11.07,-2.8576,-2.8346,-2.0756,8,,,,,2026-04-24 10:01:18
175,COMPOSITE_BREAKOUT,KRW-XRP,H1,2022-01-01 00:00:00,2026-04-24 00:00:00,2024-04-16 23:00:00,2024-07-19 00:00:00,1000000.00,W2_OUT,-0.42,0.0,-0.42,0,0,-1.0022,1,,,,,2026-04-24 10:01:18
175,COMPOSITE_BREAKOUT,KRW-XRP,H1,2022-01-01 00:00:00,2026-04-24 00:00:00,2025-02-20 23:00:00,,1000000.00,W3_IN,-4.9,7.69,-17.43,-0.2925,-0.6338,-0.5204,13,,,,,2026-04-24 10:01:18
175,COMPOSITE_BREAKOUT,KRW-XRP,H1,2022-01-01 00:00:00,2026-04-24 00:00:00,2025-02-20 23:00:00,2025-05-25 00:00:00,1000000.00,W3_OUT,6.95,25.0,-3.09,1.5396,8.1912,13.3614,4,,,,,2026-04-24 10:01:18
175,COMPOSITE_BREAKOUT,KRW-XRP,H1,2022-01-01 00:00:00,2026-04-24 00:00:00,2025-12-27 23:00:00,,1000000.00,W4_IN,-7.8,0.0,-7.8,-3.8524,-3.7876,-2.1548,8,,,,,2026-04-24 10:01:18
175,COMPOSITE_BREAKOUT,KRW-XRP,H1,2022-01-01 00:00:00,2026-04-24 00:00:00,2025-12-27 23:00:00,2026-03-30 23:00:00,1000000.00,W4_OUT,2.46,25.0,-5.02,0.7835,1.8109,3.294,4,,,,,2026-04-24 10:01:18
175,COMPOSITE_BREAKOUT,KRW-XRP,H1,2022-01-01 00:00:00,2026-04-24 00:00:00,,,1000000.00,AGG_OUT,36.02,25.0,-6.65,0.5143,3.8431,1.3619,16,,,,,2026-04-24 10:01:18
174,COMPOSITE_MOMENTUM_ICHIMOKU_V2,KRW-SOL,H1,2022-01-01 00:00:00,2026-04-24 00:00:00,2022-08-05 20:00:00,,1000000.00,W0_IN,-0.4,13.64,-15.97,0.0666,0.1529,-0.0581,22,,,,,2026-04-24 09:59:52
174,COMPOSITE_MOMENTUM_ICHIMOKU_V2,KRW-SOL,H1,2022-01-01 00:00:00,2026-04-24 00:00:00,2022-08-05 20:00:00,2022-11-06 18:00:00,1000000.00,W0_OUT,-5.72,7.69,-12.6,-1.2327,-2.4436,-1.7918,13,,,,,2026-04-24 09:59:52
174,COMPOSITE_MOMENTUM_ICHIMOKU_V2,KRW-SOL,H1,2022-01-01 00:00:00,2026-04-24 00:00:00,2023-06-11 18:00:00,,1000000.00,W1_IN,35.22,22.22,-14.1,1.7974,6.4627,5.5314,27,,,,,2026-04-24 09:59:52
174,COMPOSITE_MOMENTUM_ICHIMOKU_V2,KRW-SOL,H1,2022-01-01 00:00:00,2026-04-24 00:00:00,2023-06-11 18:00:00,2023-09-12 20:00:00,1000000.00,W1_OUT,-6.82,0.0,-6.82,-7.5763,-7.1242,-7.3551,7,,,,,2026-04-24 09:59:52
174,COMPOSITE_MOMENTUM_ICHIMOKU_V2,KRW-SOL,H1,2022-01-01 00:00:00,2026-04-24 00:00:00,2024-04-16 22:00:00,,1000000.00,W2_IN,39.66,23.33,-7.84,2.3036,8.8517,13.6014,30,,,,,2026-04-24 09:59:52
